npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  4/17/2026 4:34:46 AM ::1 GET /
 HTTP  4/17/2026 4:34:46 AM ::1 Returned 200 in 284 ms
 HTTP  4/17/2026 4:34:46 AM ::1 GET /styles.css
 HTTP  4/17/2026 4:34:46 AM ::1 Returned 200 in 7 ms
 HTTP  4/17/2026 4:34:46 AM ::1 GET /script.js
 HTTP  4/17/2026 4:34:46 AM ::1 Returned 200 in 2 ms
 HTTP  4/17/2026 4:42:22 AM ::1 GET /
 HTTP  4/17/2026 4:42:22 AM ::1 Returned 200 in 14 ms
 HTTP  4/17/2026 4:42:22 AM ::1 GET /styles.css
 HTTP  4/17/2026 4:42:22 AM ::1 Returned 200 in 23 ms
 HTTP  4/17/2026 4:42:22 AM ::1 GET /script.js
 HTTP  4/17/2026 4:42:22 AM ::1 Returned 200 in 3 ms
